City ID,City,Country,Max Temp,Lat,Lng,Humidity,Cloudiness,Wind Speed
2360372,Gorom-Gorom,BF,71.55,14.4439,-0.2361,11,0,9.84
3472864,Águas Formosas,BR,71.69,-17.0822,-40.9358,93,52,0.54
3514007,Zongozotla,MX,53.85,19.9833,-97.7333,95,100,1.12
3382160,Cayenne,GF,76.08,4.9333,-52.3333,91,100,2.3
2063036,Port Lincoln,AU,69.13,-34.7333,135.8667,52,46,9.22
3372707,Ribeira Grande,PT,59.5,38.5167,-28.7,71,1,15.35
2163355,Hobart,AU,72.01,-42.8794,147.3294,45,40,14.97
1633419,Padang,ID,75.25,-0.9492,100.3543,60,100,3.49
6162949,Terrace,CA,46.31,54.5163,-128.6035,93,75,28.77
2110227,Butaritari,KI,81.99,3.0707,172.7902,77,100,14.16
3366880,Hermanus,ZA,67.89,-34.4187,19.2345,88,99,2.46
4844309,Torrington,US,36.37,41.8007,-73.1212,74,99,4.94
3450083,Santa Maria,BR,69.1,-29.6842,-53.8069,68,0,4.61
2015306,Tiksi,RU,-12.98,71.6872,128.8694,93,100,12.73
1006984,East London,ZA,67.95,-33.0153,27.9116,77,0,5.68
5866583,Saint Paul Harbor,US,20.71,57.79,-152.4072,33,0,9.22
610298,Beyneu,KZ,31.71,45.3167,55.2,81,100,20.49
2022083,Alekseyevsk,RU,-26.91,57.8406,108.3492,100,99,0.76
3372760,Praia da Vitória,PT,57.45,38.7333,-27.0667,88,40,14.92
1644932,Ende,ID,83.3,-8.8432,121.6623,75,100,2.24
2108857,Gizo Government Station,SB,83.01,-8.103,156.8419,76,77,10.83
3405940,Bayeux,BR,81.23,-7.125,-34.9322,74,0,8.05
5855927,Hilo,US,78.53,19.7297,-155.09,69,75,8.05
1791247,Wuhan,CN,35.69,30.5833,114.2667,75,6,4.32
933759,Ghanzi,BW,71.78,-21.5667,21.7833,54,2,8.32
5859699,College,US,-2.54,64.8569,-147.8028,76,100,0.0
128477,Kashan,IR,47.37,33.9831,51.4364,27,0,0.67
1803886,Lianran,CN,37.94,24.9227,102.485,59,33,3.09
2177671,Armidale,AU,75.81,-30.5167,151.65,30,0,7.02
2155415,New Norfolk,AU,71.65,-42.7826,147.0587,31,17,8.41
5134295,Rome,US,44.4,43.2128,-75.4557,70,100,5.75
6096551,Pangnirtung,CA,-19.26,66.1451,-65.7125,98,100,4.52
1853371,Ryōtsu-minato,JP,35.56,38.0833,138.4333,67,100,10.58
1492827,Novoseleznëvo,RU,-9.09,55.6821,69.2056,99,37,5.93
3466980,Caravelas,BR,77.18,-17.7125,-39.2481,88,80,5.84
4031574,Provideniya,RU,-2.09,64.3833,-173.3,60,0,20.13
2136150,Luganville,VU,86.16,-15.5333,167.1667,66,100,4.97
5969025,Haines Junction,CA,42.75,60.7522,-137.5108,56,18,12.66
2618795,Klaksvík,FO,34.72,62.2266,-6.589,61,100,21.25
1799491,Neijiang,CN,43.92,29.5835,105.0622,75,94,3.2
3423146,Ilulissat,GL,15.82,69.2167,-51.1,79,40,19.57
4020109,Atuona,PF,78.71,-9.8,-139.0333,75,9,16.82
6089245,Norman Wells,CA,-7.56,65.282,-126.8329,64,100,11.5
779622,Havøysund,NO,23.88,70.9963,24.6622,81,100,10.65
2084442,Vanimo,PG,85.84,-2.6741,141.3028,65,40,1.21
3576994,Cockburn Town,TC,77.97,21.4612,-71.1419,74,0,20.29
1812521,Donghai,CN,57.94,22.9459,115.642,77,72,4.74
2399001,Mayumba,GA,76.69,-3.432,10.6554,91,100,4.63
982899,Lichtenburg,ZA,65.08,-26.152,26.1597,50,40,1.1
3467545,Cândido de Abreu,BR,69.53,-24.5669,-51.3333,76,49,1.36
933995,Souillac,MU,74.35,-20.5167,57.5167,77,80,3.67
1516048,Khovd,MN,-9.11,48.0056,91.6419,93,98,2.89
4013679,Coahuayana Viejo,MX,85.48,18.7333,-103.6833,67,0,3.18
